Bank,review_text,review_score
Techcombank Mobile,This app is still an improvement. There are a lot of things need to be developed. I request this app has a function that delete or modify the contact list of receiver's account.,3
Techcombank Mobile,"Cannot log into the new app, have to use the web version. Please fix or allow us to use the good old Fast Access app instead.",1
Techcombank Mobile,"First they asked me to use this app instead of the old FastMobile since they were going to shut it down soon . After setting up my new password for this app, I couldn't even log in and they even locked my internet banking account. How frustrating!",1
Techcombank Mobile,"Before, I must log in with password with 8 characters and use passcode to verify transaction. Now, the user only needs input 4 numbers to log in your account, then they can do transaction. It's mean when you left your mobile in a while, anyone can use your account. It's very disapointed.",1
Techcombank Mobile,"1. Should include balance information under Accounts and cards transaction > transaction history. Why put Balance notifications in a separate portal, hidden in Notifications? 2. Let user customize the text for money transfer 3. User should be able to hide their balance everywhere including transfer money portal Understand there are a lot to work on still but hopefully it can be done soon",3
Techcombank Mobile,working faster & it's really easy to use. Better than the previous version.,5
Techcombank Mobile,Quite good. Can't find the balance notification to track transactions.,4
Techcombank Mobile,Terrible app for a bank as it can only check balance... nothing else is works((( Its a pity that a bank with name TECH have such kind of apps(,1
Techcombank Mobile,"Can I use the old app? This new app is unfriendly, App interface is more difficult than the old version.",2
Techcombank Mobile,Modern and friendly UI/UX. Good job with re-designing the app. Major step up from the old outdated one. Few features needed asap: - edit contact list - set up recurring payments - show current balance next to each transaction - dark mode,4
Techcombank Mobile,"Well, understand why so many 1* here. I've created new pw via Fast mobile follow instructions and logged in via new app but then it said incorrect user and pw. Then I've come back the Fast mobile and re-done every step but same issue. Don't know how to do next. Need further improvement before shutdown the old app. Nam A bank has provided 2 different apps for different users. Thanks.",1
Techcombank Mobile,"- The app's feedback option is extremely hard to write. Instead of staying above the keyboard, it hid under it. I couldn't see what I have typed and had to fix many times. - Automatically log out when I have not done writing feedback. So I have to write here. - I couldn't pay my flight tickets via techcombank visa card. I have called them many times and they have guaranteed me the card is fine, which it wasn't. I had to pay with my other card. - The staffs who I called wasn't very helpful.",1
Techcombank Mobile,"- After moved from the old app, it slowly loads the feature. I need to wait 2 days to see credit card management section. - Anyway, the UI is clean and better.",4
Techcombank Mobile,UI is not good. The notification doesn't display for each transitions. It must be logged into the app to see the changes,1
Techcombank Mobile,"Really bad n sad for VN's (still) largest consumer bank. Amazingly, the first 1* have been there as far back as Oct 2021 n the problem apparently still persists as I have just been requested to migrate to the new version today (Mar 19th 2022). And of course it doesn't work. Now neither versions work for me. My wife is lucky she is still on older version, for some reasons. So why me??? The web version too is on strike 🤬. Hope other TCB's shareholders would read these reviews... I did.",1
Techcombank Mobile,It's difficult to use as the contents are too complicated and interface is so poor. Please bring the clients back to old app.,1
Techcombank Mobile,The upgraded version is super horrible . Send us back to the old one,1
Techcombank Mobile,Better than I thought. However the design should be simpler and more straight-forward.,4
Techcombank Mobile,"added more options and functionality, easy to use. love this new app!",5
Techcombank Mobile,"Forced change from Fast Connect to this app, but can't login",1
Techcombank Mobile,"Transfer didn't go through, and I have no idea whether it is either on-going/success/failed",2
Techcombank Mobile,modern design but it needs to faster and smoother,4
Techcombank Mobile,How can i delete beneficiary from list of beneficiaries? It seems that the app has not allowed to do it.,3
Techcombank Mobile,I cant tell why they switch to this app. No more new interesting feature. And the UI/UX is.... 100% awful!!! The old version was much more easier to use. They messed up everything,1
Techcombank Mobile,Impossible to login even if inputting account correctly.,1
Techcombank Mobile,Cannot log in even set up in Fast Mobile,1
Techcombank Mobile,I've been using fast@mobile for years now. Now fast@mobile forced me to switch to this. It ask me to make a new pw and ID for this app but i couldn't login via new pw. When i logged using my old pw it said that my online account was locked??? Better than that they doesn't provide any reason why my online account was locked? Now both apps are useless how do i transfer money? Honestly horrible experience Edit: after a day the old app give me another chance to update pw. After that all is good.,4
Techcombank Mobile,"Worst app ever. I have an emergency situation but can not transfer money. Since i downloaded this app, i tried about 20 times to transfer money but it didn't work. Horrible experience!",1
Techcombank Mobile,"Techcombank Call center explains that Smart OTP is useless, thus this new mobile app does not request any OTP for transaction. Only 4 digit passcode, you can do everything from log in to transaction. Such a disappointed app!",1
Techcombank Mobile,Boring app. Take too long to finish a transfer vs old app. Not much useful and convenient vs old app. 1 positive point is modern ui but cannot help for poor ux.,1
Techcombank Mobile,"Required me to create a new password from the old app. When I login to the new app it said ""Incorrect"". Now I can't login both. Edit: Took me an hour and the new app suddenly let me login.",3
Techcombank Mobile,A little uncomfortable when I use it. I set a password but login by validate number (OTP number). What does my password use for? Please fix it like the older app!,3
Techcombank Mobile,Why not showing account balance by every transaction. I have to manually calculated in my head the balance after each single transaction. Isn't bank app supposed to do so?,1
Techcombank Mobile,"simple, easy to use, attractive design",4
Techcombank Mobile,"Very fast, secure and completely free.",5
Techcombank Mobile,"The new app looks nice, I guess that you guys are trying to mimic the commonwealth bank look, modern, simple. The app however is still unfinished, there are still lot of bugs, sometimes you can't log in or system error. The transfer delay is too long compare to the previous app i.e F@st Mobile. With F@st its the transfer time is almost instant, with this app you need at a day or two just to get the transfer through.",3
Techcombank Mobile,"pretty great app, easy to use and nice to look at",5
Techcombank Mobile,The app crashes all the time. It loads like forever whenever I need to take an action.,1
Techcombank Mobile,"UX and UI is not good for the user. Keyboard always appears. It makes user feel uncomfortable. Additional, Push notification to device have multi lines. In the new version, the notification only have one line, it's not enough information to see. When user want to see full notification, user open the app. It is not convenient.",2
Techcombank Mobile,It says my phone has been rooted even though this android can't be rooted. Suck,1
Techcombank Mobile,The interface not user-friendly,1
Techcombank Mobile,"Not even able to log in although I've created a new password in the old app. It constantly announces that the username or password is incorrect, but I can 100% sure that I've entered the correct ones for thousand times. It's really annoying!",1
Techcombank Mobile,"love the app, Techcombank doing great with the technology improvement",5
Techcombank Mobile,"The service of this bank is so bad, took 2 weeks and my small problem about ebanking system is not solved. Not recommend to use this bank.",1
Techcombank Mobile,Too bad. Can't open and login,1
Techcombank Mobile,View UI/UX and function on Fast Mobile is good. But New App no want to use,1
Techcombank Mobile,Where is otp on this app. Forced me to switch to an app that isn't completed yet. Now I have to reinstall fast mobile again,3
Techcombank Mobile,The login button not react when i tap on it.,1
Techcombank Mobile,"Not being able to login even though I had to change my pw multiple times. I am sure I have entered correct pw and username or else the app would inform ""incorrect password or username"". And if I press ""forgot username"" it redirects me to change my password. What a non-sense! You made us switch to this app too early, and stopped us from the old app before this new one is ready. First time totally disappointed with TCB.",1
Techcombank Mobile,"The red theme is so annoying, once loaded up it hit my eyes with this super red hot screen, why hurting customers eyes like that?",2
Techcombank Mobile,"good service, easy to use UX",5
Techcombank Mobile,"Better than VCB app. If you use TCBS, this app is pretty useful as it integrates with TCBS and shows all your cash flow. 5/5.",5
Techcombank Mobile,App are slow during log in session.,4
Techcombank Mobile,"Looks nicer than F@st mobile and the name tailors the bank name now. There's still a minor bug issue where confirming allow in-app balance notification after installation goes on forever, restarting the app fixes it. Another issue might be the start animation, motion sick users can find it uncomfortable. Just a simple fade transition is professional enough. Also please, implement dark mode.",4
Techcombank Mobile,"good app, highspeed but need more security",4
Techcombank Mobile,"I love the new UI. Clean n more friendly. Need more using to tell the UX but i'm having positive feeling abt it. Well done, TCB team",5
Techcombank Mobile,It just works seamlessly,5
Techcombank Mobile,Easy and fast to use!,5
Techcombank Mobile,The app is b.s it brings the bad experiment especially when tranfering money to other bank. I examine to change other bank,1
Techcombank Mobile,fast and easy to use.,5
Techcombank Mobile,your system sometimes does not log in,3
Techcombank Mobile,Can not log in in new app (Techcombank Mobie),1
Techcombank Mobile,smooth and fast,5
Techcombank Mobile,"Simple apps, good.",4
Techcombank Mobile,This new app is terrible. Not convenience at all.,1
Techcombank Mobile,"Can not log in, app ngu học",1
Techcombank Mobile,Great and simple app,5
Techcombank Mobile,"Can't share transaction, can't upload to drove, can't even capture mobile screen (blocked)",1
Techcombank Mobile,Stupid version. I can't read app messages or use normal functions of old fast@mobile version.,1
Techcombank Mobile,"can't sent money to save account in the list, i have to refill my friend accounts everytime im want to transaction",1
Techcombank Mobile,"Actually terrible, i buy new phone and log in with old password, it never work!",1
Techcombank Mobile,Not as user friendly as i am used to ... i cannot change my front page set up to NOT show my account balance ...:(,2
Techcombank Mobile,Worse than the previous app (TechMobile). There is no information of the credit VISA card.,3
Techcombank Mobile,I think old version is better if it doesnt request to change password often...i don't like this new app,2
Techcombank Mobile,Does not work smoothly like Fast@mobile. Often receive loading issues,1
Techcombank Mobile,They detect a phone as jailbroken if developer mode is turned on. Are you kidding! 3rd class app.,1
Techcombank Mobile,Does not operate properly on Galaxy S20+: it simply doesn't start. 1 star.,1
Techcombank Mobile,This software sucks. Suddenly I cannot do anything on my app. Went to the bank and nobody there knows what to do.,1
Techcombank Mobile,Can you remove the feature in the old app which forces users to update to this unusable one???,1
Techcombank Mobile,The ui is very unfriendly,1
Techcombank Mobile,"The new app so ridiculous, it's deterioration. I can't hide the balance and all my transactions always show on main screen.",2
Techcombank Mobile,The app is super crash. I couldn't creat an online account. It kept telling me that something is wrong when I tried to take pictures of my ID. I tried a lot of time but it all failed.,1
Techcombank Mobile,"1. Lack information transactions such as date of transactions and some names of receivers or transmitters 2. Ask user to set password and passcode but the app set default log in by using passcode, cannot change the password mode 3. I cannot find where to change OTP 4. Should have a user manual to instruct customer first before applying the app in real life",2
Techcombank Mobile,"Please do test your application carefully before mass roll out to the market. Too many bugs, service interruption frequently. Cannot understand why you can release such poor quality product to the market. It is obviously unmatched to the name of Techcombank.",1
Techcombank Mobile,"An unfinished application, how lame it is when you switch to this , you neither use the previous version nor login on web browser which have more funtions than this ver (where is the freaking benefical management)",1
Techcombank Mobile,"Looks good, doesn't work",2
Techcombank Mobile,Best friendly user designed so far for me,5
Techcombank Mobile,No updated balance for each transaction!??,1
Techcombank Mobile,New interface is not friendly,3
Techcombank Mobile,"Can not login, already sign up with new password",1
Techcombank Mobile,"modern ux, fast to navigate when you familiar with",5
Techcombank Mobile,"This is a nightmare, I can't make any transactions. Can't even log in, I tried and failed to log in 99 out of 100 times. Can't even imagine this is an iBanking application. I called Support Center and was told it was because of my internet connection, how irresponsible!",1
Techcombank Mobile,Great experience. I enjoy how easy it is to search for a saved recipient and I no longer have to choose from so many transfer options.,5
Techcombank Mobile,"After only 2 days with the new app, I must say it is much more better than the older version. From the UI, the categories, the way you transfer money, it's really easy to use. Good job techcom team!",5
Techcombank Mobile,"After logined in my account via typing username and password, this app still asked me to input OTP code. Now I'm in abroad and my Vietnam sim card doesn't work. That is why I rate for this app 1 star. Definitely.",1
Techcombank Mobile,"The worst e-banking app ever! Cannot log in though the internet connection or the password is very ok, right. I do not want to use this fvckjng app but the f@st mobile app cannot be used",1
Techcombank Mobile,"I've tried to log in but fail anytime, it make me feel so uncomfortable. I need to make some transactions but i don't have time to go to the bank or ATM so what can I do now when this app and the old app are off either?",1
Techcombank Mobile,So bad. UI/UX is too difficult to use. Notification function doesn't work. Why I have to migrate to new app when it not finish???,1
Techcombank Mobile,This app keeps saying something went wrong at different times and steps though my connection is strong and the info is correct.,1
Techcombank Mobile,Rolling out this new piece of garbage and forcing users to switch is not a smart move at all. I went through all kind of trouble for not being able to transfer money today. I'm switching to another bank. Bye.,1
Techcombank Mobile,So many functions not completed. I tried to use some functions like read money transaction history but it just say coming soon. This app is released too soon.,1
Techcombank Mobile,Terrible app. Having the same problem as the others. Can't log in. It keeps saying incorrect username and password.,1
Techcombank Mobile,Diggin the new design. A world of difference compare to the old app.,5
Techcombank Mobile,Beautiful mordern design but still not good as the old app,3
Techcombank Mobile,"Crashing, cant log in",1
Techcombank Mobile,I deleted the app and download it again on the same device but it keeps saying I did log in in another device (?!?),1
Techcombank Mobile,"When I take screenshot for transaction, I got the notification ""Cant take screenshot due to security policy""",1
Techcombank Mobile,"F***king stupid! I dowload it and can't sign in even try to delete and download and download again and again over 1000 times. So now my account JUST ONLY USE BY CARD, THIS APP IS NOT WORKING? Please Techcombank, tell me how to continue work with you? Or I've to cancel everything in your bank and never comeback?",1
Techcombank Mobile,How long you update my password cant even login. Edited: Good for now!,5
Techcombank Mobile,The new interface is not convenient,1
Techcombank Mobile,"Great design. Smooth. Quick transfer. UX is quite complicated at first time but will be very confortable after 2,3 time used. I love the QR payment",5
Techcombank Mobile,"If any member of the dev team can read this, please know that your app is terrible and we want YOU to fix it. Or just let me get back to F@st mobile.",1
Techcombank Mobile,Worst experience ever with TCB app,1
Techcombank Mobile,better app then the fast mobile app. User friendly,5
Techcombank Mobile,Fast and convenient,5
Techcombank Mobile,Not good as older version,1
Techcombank Mobile,Much more modern and easier to use than old app,5
Techcombank Mobile,Vẫn không thể enable Finger print trên Samsung galaxy S21 plus,1
Techcombank Mobile,"I like old app, don't like new one...",1
Techcombank Mobile,It's so unstable,3
Techcombank Mobile,Please design dark mode theme,5
Techcombank Mobile,Can we have an option to delete saved accounts to transfer money?,4
Techcombank Mobile,Cant freaking log in,1
Techcombank Mobile,Upgrade nerver notification,1
Techcombank Mobile,quite easy to navigate,5
Techcombank Mobile,"Very stupid UI and UX, gonna leave this bank soon. This failed project must be eliminated.",1
Techcombank Mobile,Nice UX. App works smoothly,5
Techcombank Mobile,fast and convenient,5
Techcombank Mobile,Keep loading all the time,1
Techcombank Mobile,Overall good experience with the app.,4
Techcombank Mobile,Cannot login after a few times ...,1
Techcombank Mobile,I can't block my visa card on app and can't pay for mobile fee,1
Techcombank Mobile,"it said no internet connection meanwhile at this time, while im writing this review the wifi is still full and strong. what th was that 😒",1
Techcombank Mobile,Techcombank really doesn't pay attention to their customers' experience? This is the first time I know it be this irrational to force us to get into frustration. I didn't make the change but I never want to do so as being bombarded by 1* reviews.,1
Techcombank Mobile,Can not log in,1
Techcombank Mobile,Very slow loading,2
Techcombank Mobile,"I can't use this version or the old version. Fa@t mobile prevents my access because of the release of Techcombank mobile, which even not working.",1
Techcombank Mobile,Worst experience ever. Cannot log in though I've just set up new password in Fast Mobile.,1
Techcombank Mobile,"It is bad, i could not delete my history. In addition, there are many error from this app.",1
Techcombank Mobile,Can't even log in and make any transaction since updated. Too bad! Worst experience ever!,1
Techcombank Mobile,Too slow to connect and load the information. You need to fix mistakes and show customer completely app.,1
Techcombank Mobile,"Worse app ever. When I tried to open the old version, it ask me to install the new one and need to have new password for the new app(this one). Never can I login the new app and it also says that there was an error due to wrong account name or password. Everything is correct except the app!! So disappointed. Now I can't login both.",1
Techcombank Mobile,Difficult to use,1
Techcombank Mobile,Can't connect to TCBS account!!!,1
Techcombank Mobile,Bugs everywhere. Please fix this as soon as possible and you'll get my 5 star rate again.,1
Techcombank Mobile,Poor UX and unusable. App marks any phone as jailbroken if developer mode is turned on.,1
F@st Mobile,"After the update to Android 12 for my Samsung Note 10+, I could not sign in using my Fingerprint recognition. I have to say it causes me a great deal of inconvenience (since Im living abroad and seeking support from Call Centre is challenging). As i see some reviews describing the same problem, I wish that the provider will update and improve the fingerprint recognition as soon as possible. Thank you.",3
F@st Mobile,"Constantly crash after the update for OTP This is the second time the app crashes, proventing me to open it. I tried uninstall the app the first time but when I get to log on, I had to set up the OTP numbers again. It's not difficult but sure is time consuming. You use an app so everything can be quick and within your capabilities so what's the point? The app itself was good but there is this problem with only a few users. I hope they fix it soon",2
F@st Mobile,"Sometimes when I can't log in, I'm shown the message ""Invalid username or password"" and I have to wait a long time before I can log in again. I think if the server is in error please send the message ""Server error"" because If people don't know, they will change the password.",1
F@st Mobile,"App show error message when I try to login with fingerprint. I use it normally before upgrade OS version. Others app work well with fingerprint feature, so this is a OS compability issue of this app.",3
F@st Mobile,"Fingerprint login has been broken for over a month, throwing the error: ""Key [fingerprintpw] not found. System is maintaining. Please try later. (Code: 101022)""",2
F@st Mobile,"Well, for those who experience error with fingerprint, the solution is to deactive your smart OTP, then uninstall Fast Mobile app, reinstall app and reset everything, including smart OTP and fingerprint",4
F@st Mobile,"I cannot close the ""update to new app"" advertisement. Is it some kind of on purpose feature or is just a bug? Please fix this asap cause the new app is extremely terrible",1
F@st Mobile,"Such a terrible service and app. I tried to change my password to login for first time but it was unable to do that. I called to hotline to hear what i read on website, no extra support or something like that. They asked me go to office to get password reset. Ok, so I went to office to listen the same as hotline service. They acted like i did something wrong not their app. Finally, there is some issue with my account in system. Thank you so much for a kind support. I terminated my bank account",1
F@st Mobile,"Recently I could not access through fingerprint, tried to change the rule but there was error code 101019. Pls fix it.",3
F@st Mobile,"So far so good.... however, after my phone (Galaxy note 10) got Android 12 updatation ... finger print log in no longer works, seem like the directory for finger print preferences have been changed.... Please look into this issue cuz it is giving me some inconvinient moments. I have dowloaded the ""Techcombank app"" but that app havent move my account to its system just yet so I am still having to use this one ...",4
F@st Mobile,"I can't use napas 24/7 transaction anymore. I input receiver's bank, acct. no., but nothing happen.",2
F@st Mobile,I cannot use fingerprint on Samsung Note 10 after the OS upgrade. It's not compatible with my device (android 12).,4
F@st Mobile,"I can not log in to my account. The app keeps saying that my username or password is incorrect, but I'm sure I enter the correct information. This is blocking me from doing any transactions. Please take an action! I'm seeing the same situations from other reviews posted since November and I'm worried about how long it will take to fix this issue.",3
F@st Mobile,it's good so far. I think smart OTP is a very convenient and safe way to transfer the money. Imagine that when you lose your phone and in the worst sence someone can log in to your account and use the OTP through SMS 😱 thanks the team. Keep up the good work!,5
F@st Mobile,"Dont know what's going on in this App. Keep telling that my password was not correct when I used the correct one multiple times. Tried to change password, but no matter how many options I used, always notification on unacceptable was popped out. What's a disappointment!",1
F@st Mobile,"Easy to use. One minus star is due to the credit card paying display. After paying off (full payment), it still shows the same amount before doing so. As a result, it could make me people confused.",4
F@st Mobile,"Very disappointing. Password limits the maximum number of characters. Requires frequent password changes. Changing my password often makes it impossible for me to remember which one I am using. When resetting the password, the server doesn't send the confirmation code. The data load was very slow, often blaming my poor connection (even though I used 4g and fiber). The customer service department couldn't do anything but pointlessly extend the waiting time.",1
F@st Mobile,"After updating , i cant make any transactions via app , especially credit card ( Visa ) eventhough my balance is still valid. I did the transactions but i didnt get any OTP messages which is sent to the owner's phone registration. That was so annoying. Hope the mistakes will be handled as soon as possible",2
F@st Mobile,"i can't do anything with this app since i can't even login when i have already reinstalled and tried to log in at many places which has strong wifi and i even use my data but the system still announces that the internet is too slow or too much people are using. If"" too much people are using "" means at 3 AM in the morning all citizens of this city transact only by this app then make sense . I hope that the company can fix this bug and this app , i hope this will not occur again",1
F@st Mobile,"The app is hard to use, new update suck me at otp, error, very very very bad app, do not use this bank",1
F@st Mobile,"I hope you read this review. Everything is great until I used my new credit card, swiped 3 times but there's no update in the credit balance and no transactions shown in the app (even tho the SMS does update). Tried to update the app but no use.. what's your business flow for this? I asked the banker and she told me it would be updated in the next day but it's been 2 days already? Can you try to adjust my balance manually or a cronjob maybe can help? Thanks!",3
F@st Mobile,"Given that I use my fingerprint to login the requirement to change the password so often is rather ridiculous. Otherwise, it's a useful and generally user-friendly app.",4
F@st Mobile,"System bug - OTP generator. After entering SmartOTP code, it never appear generated OTP code, neither the number of seconds, until the session expires. I cannot transfer anything. Please fix it! My sister in vietnam can use normally but I'm abroad and it doesn't work. Why?",1
F@st Mobile,"Can not use fingerprint after update to android 12, it seem its an urgent bug but they dont fix asap?",1
F@st Mobile,"Can not change password, keep telling error eventhough i follow exactly the instruction.",1
F@st Mobile,"After my google pixel 3 phone update to android 12, i no longer login or make transaction using fingerprint any more. Please fix it",5
F@st Mobile,I can login to my account... This app couldn't recognize my fingerprint and i dont know why.. So disappointed,1
F@st Mobile,"I'm satisfied with it, easy to use, I can send money through it, overall it does everything I need! No bugs or crashes in around 2 years of using it 😁",5
F@st Mobile,"I cannot use my fingerprint to login, and I cannot register one as some error happens constantly (code 101019 I think). Wonky!",1
F@st Mobile,"I was update version. I can not see otp or setup smart otp for transfer money. But I talk about with contact center and her talk with me pls: remove app and reinstall from store. Before update need remove smart otp. Bla..bla..bla.. I don't understand why upgrade? Customer don't need install and reinstall for app. Why smartphone have biometrics always need remember password sign-in this app. I dis like FastMobile, team tech of TCB need learning deploy product, customer service need learning SLA.",1
F@st Mobile,"Why password with more than 8 charaters not allow?! This is banking and finance businesses, the password is supposed to be as flexible and complex as possible",1
F@st Mobile,"After upgrade to Android 10, I couldn't use fingerprint unlock feature even I had registered fingerprint, also entered password and OTP code. Pls have a look.",3
F@st Mobile,So annouying. I couldn't take any transactions today even I already updated to the latest version. I even couldn't jump in the home page of the app.,1
