Bank,review_text,review_score,english,target
Techcombank Mobile,the location to display full amount changed is difficult to find need be improve the notification of amount changed is delayed serveral or long time this is a risk when owners dont know their amount withdraw unexpected immediately,3,1,0
Techcombank Mobile,compare with previous app f stconnect the new app is more difficulty to use and the features are also be reduced also even account by mobile number from outside bank transfer also is disabled,1,1,0
Techcombank Mobile,this app is still an improvement there are a lot of things need to be developed i request this app has a function that delete or modify the contact list of receiver's account,3,1,0
Techcombank Mobile,cannot log into the new app have to use the web version please fix or allow us to use the good old fast access app instead,1,1,0
Techcombank Mobile,first they asked me to use this app instead of the old fastmobile since they were going to shut it down soon after setting up my new password for this app i couldn't even log in and they even locked my internet banking account how frustrating,1,1,0
Techcombank Mobile,before i must log in with password with characters and use passcode to verify transaction now the user only needs input numbers to log in your account then they can do transaction it's mean when you left your mobile in a while anyone can use your account it's very disapointed,1,1,0
Techcombank Mobile,should include balance information under accounts and cards transaction transaction history why put balance notifications in a separate portal hidden in notifications let user customize the text for money transfer user should be able to hide their balance everywhere including transfer money portal understand there are a lot to work on still but hopefully it can be done soon,3,1,0
Techcombank Mobile,working faster it's really easy to use better than the previous version,5,1,1
Techcombank Mobile,quite good can't find the balance notification to track transactions,4,1,1
Techcombank Mobile,terrible app for a bank as it can only check balance nothing else is works its a pity that a bank with name tech have such kind of apps,1,1,0
Techcombank Mobile,can i use the old app this new app is unfriendly app interface is more difficult than the old version,2,1,0
Techcombank Mobile,modern and friendly ui ux good job with re designing the app major step up from the old outdated one few features needed asap edit contact list set up recurring payments show current balance next to each transaction dark mode,4,1,1
Techcombank Mobile,well understand why so many here i've created new pw via fast mobile follow instructions and logged in via new app but then it said incorrect user and pw then i've come back the fast mobile and re done every step but same issue don't know how to do next need further improvement before shutdown the old app nam a bank has provided different apps for different users thanks,1,1,0
Techcombank Mobile,the app's feedback option is extremely hard to write instead of staying above the keyboard it hid under it i couldn't see what i have typed and had to fix many times automatically log out when i have not done writing feedback so i have to write here i couldn't pay my flight tickets via techcombank visa card i have called them many times and they have guaranteed me the card is fine which it wasn't i had to pay with my other card the staffs who i called wasn't very helpful,1,1,0
Techcombank Mobile,after moved from the old app it slowly loads the feature i need to wait days to see credit card management section anyway the ui is clean and better,4,1,1
Techcombank Mobile,ui is not good the notification doesn't display for each transitions it must be logged into the app to see the changes,1,1,0
Techcombank Mobile,really bad n sad for vn's still largest consumer bank amazingly the first have been there as far back as oct n the problem apparently still persists as i have just been requested to migrate to the new version today mar th and of course it doesn't work now neither versions work for me my wife is lucky she is still on older version for some reasons so why me the web version too is on strike face with symbols on mouth hope other tcb's shareholders would read these reviews i did,1,1,0
Techcombank Mobile,it's difficult to use as the contents are too complicated and interface is so poor please bring the clients back to old app,1,1,0
Techcombank Mobile,the upgraded version is super horrible send us back to the old one,1,1,0
Techcombank Mobile,better than i thought however the design should be simpler and more straight forward,4,1,1
Techcombank Mobile,added more options and functionality easy to use love this new app,5,1,1
Techcombank Mobile,forced change from fast connect to this app but can't login,1,1,0
Techcombank Mobile,transfer didn't go through and i have no idea whether it is either on going success failed,2,1,0
Techcombank Mobile,modern design but it needs to faster and smoother,4,1,1
Techcombank Mobile,how can i delete beneficiary from list of beneficiaries it seems that the app has not allowed to do it,3,1,0
Techcombank Mobile,i cant tell why they switch to this app no more new interesting feature and the ui ux is awful the old version was much more easier to use they messed up everything,1,1,0
Techcombank Mobile,impossible to login even if inputting account correctly,1,1,0
Techcombank Mobile,cannot log in even set up in fast mobile,1,1,0
Techcombank Mobile,i've been using fast mobile for years now now fast mobile forced me to switch to this it ask me to make a new pw and id for this app but i couldn't login via new pw when i logged using my old pw it said that my online account was locked better than that they doesn't provide any reason why my online account was locked now both apps are useless how do i transfer money honestly horrible experience edit after a day the old app give me another chance to update pw after that all is good,4,1,1
Techcombank Mobile,worst app ever i have an emergency situation but can not transfer money since i downloaded this app i tried about times to transfer money but it didn't work horrible experience,1,1,0
Techcombank Mobile,techcombank call center explains that smart otp is useless thus this new mobile app does not request any otp for transaction only digit passcode you can do everything from log in to transaction such a disappointed app,1,1,0
Techcombank Mobile,boring app take too long to finish a transfer vs old app not much useful and convenient vs old app positive point is modern ui but cannot help for poor ux,1,1,0
Techcombank Mobile,"required me to create a new password from the old app when i login to the new app it said ""incorrect"" now i can't login both edit took me an hour and the new app suddenly let me login",3,1,0
Techcombank Mobile,a little uncomfortable when i use it i set a password but login by validate number otp number what does my password use for please fix it like the older app,3,1,0
Techcombank Mobile,why not showing account balance by every transaction i have to manually calculated in my head the balance after each single transaction isn't bank app supposed to do so,1,1,0
Techcombank Mobile,simple easy to use attractive design,4,1,1
Techcombank Mobile,very fast secure and completely free,5,1,1
Techcombank Mobile,the new app looks nice i guess that you guys are trying to mimic the commonwealth bank look modern simple the app however is still unfinished there are still lot of bugs sometimes you can't log in or system error the transfer delay is too long compare to the previous app i e f st mobile with f st its the transfer time is almost instant with this app you need at a day or two just to get the transfer through,3,1,0
Techcombank Mobile,pretty great app easy to use and nice to look at,5,1,1
Techcombank Mobile,the app crashes all the time it loads like forever whenever i need to take an action,1,1,0
Techcombank Mobile,ux and ui is not good for the user keyboard always appears it makes user feel uncomfortable additional push notification to device have multi lines in the new version the notification only have one line it's not enough information to see when user want to see full notification user open the app it is not convenient,2,1,0
Techcombank Mobile,it says my phone has been rooted even though this android can't be rooted suck,1,1,0
Techcombank Mobile,the interface not user friendly,1,1,0
Techcombank Mobile,not even able to log in although i've created a new password in the old app it constantly announces that the username or password is incorrect but i can sure that i've entered the correct ones for thousand times it's really annoying,1,1,0
Techcombank Mobile,love the app techcombank doing great with the technology improvement,5,1,1
Techcombank Mobile,the service of this bank is so bad took weeks and my small problem about ebanking system is not solved not recommend to use this bank,1,1,0
Techcombank Mobile,too bad can't open and login,1,1,0
Techcombank Mobile,view ui ux and function on fast mobile is good but new app no want to use,1,1,0
Techcombank Mobile,where is otp on this app forced me to switch to an app that isn't completed yet now i have to reinstall fast mobile again,3,1,0
Techcombank Mobile,the login button not react when i tap on it,1,1,0
Techcombank Mobile,"not being able to login even though i had to change my pw multiple times i am sure i have entered correct pw and username or else the app would inform ""incorrect password or username"" and if i press ""forgot username"" it redirects me to change my password what a non sense you made us switch to this app too early and stopped us from the old app before this new one is ready first time totally disappointed with tcb",1,1,0
Techcombank Mobile,the red theme is so annoying once loaded up it hit my eyes with this super red hot screen why hurting customers eyes like that,2,1,0
Techcombank Mobile,good service easy to use ux,5,1,1
Techcombank Mobile,better than vcb app if you use tcbs this app is pretty useful as it integrates with tcbs and shows all your cash flow,5,1,1
Techcombank Mobile,app are slow during log in session,4,1,1
Techcombank Mobile,looks nicer than f st mobile and the name tailors the bank name now there's still a minor bug issue where confirming allow in app balance notification after installation goes on forever restarting the app fixes it another issue might be the start animation motion sick users can find it uncomfortable just a simple fade transition is professional enough also please implement dark mode,4,1,1
Techcombank Mobile,good app highspeed but need more security,4,1,1
Techcombank Mobile,i love the new ui clean n more friendly need more using to tell the ux but i'm having positive feeling abt it well done tcb team,5,1,1
Techcombank Mobile,it just works seamlessly,5,1,1
Techcombank Mobile,easy and fast to use,5,1,1
Techcombank Mobile,the app is b s it brings the bad experiment especially when tranfering money to other bank i examine to change other bank,1,1,0
Techcombank Mobile,fast and easy to use,5,1,1
Techcombank Mobile,can not log in in new app techcombank mobie,1,1,0
Techcombank Mobile,smooth and fast,5,1,1
Techcombank Mobile,simple apps good,4,1,1
Techcombank Mobile,this new app is terrible not convenience at all,1,1,0
Techcombank Mobile,great and simple app,5,1,1
Techcombank Mobile,can't share transaction can't upload to drove can't even capture mobile screen blocked,1,1,0
Techcombank Mobile,stupid version i can't read app messages or use normal functions of old fast mobile version,1,1,0
Techcombank Mobile,can't sent money to save account in the list i have to refill my friend accounts everytime im want to transaction,1,1,0
Techcombank Mobile,actually terrible i buy new phone and log in with old password it never work,1,1,0
Techcombank Mobile,not as user friendly as i am used to i cannot change my front page set up to not show my account balance,2,1,0
Techcombank Mobile,worse than the previous app techmobile there is no information of the credit visa card,3,1,0
Techcombank Mobile,i think old version is better if it doesnt request to change password often i don't like this new app,2,1,0
Techcombank Mobile,does not work smoothly like fast mobile often receive loading issues,1,1,0
Techcombank Mobile,they detect a phone as jailbroken if developer mode is turned on are you kidding rd class app,1,1,0
Techcombank Mobile,does not operate properly on galaxy s it simply doesn't start star,1,1,0
Techcombank Mobile,this software sucks suddenly i cannot do anything on my app went to the bank and nobody there knows what to do,1,1,0
Techcombank Mobile,can you remove the feature in the old app which forces users to update to this unusable one,1,1,0
Techcombank Mobile,the ui is very unfriendly,1,1,0
Techcombank Mobile,the new app so ridiculous it's deterioration i can't hide the balance and all my transactions always show on main screen,2,1,0
Techcombank Mobile,the app is super crash i couldn't creat an online account it kept telling me that something is wrong when i tried to take pictures of my id i tried a lot of time but it all failed,1,1,0
Techcombank Mobile,lack information transactions such as date of transactions and some names of receivers or transmitters ask user to set password and passcode but the app set default log in by using passcode cannot change the password mode i cannot find where to change otp should have a user manual to instruct customer first before applying the app in real life,2,1,0
Techcombank Mobile,please do test your application carefully before mass roll out to the market too many bugs service interruption frequently cannot understand why you can release such poor quality product to the market it is obviously unmatched to the name of techcombank,1,1,0
Techcombank Mobile,an unfinished application how lame it is when you switch to this you neither use the previous version nor login on web browser which have more funtions than this ver where is the freaking benefical management,1,1,0
Techcombank Mobile,no updated balance for each transaction,1,1,0
Techcombank Mobile,new interface is not friendly,3,1,0
Techcombank Mobile,can not login already sign up with new password,1,1,0
Techcombank Mobile,modern ux fast to navigate when you familiar with,5,1,1
Techcombank Mobile,this is a nightmare i can't make any transactions can't even log in i tried and failed to log in out of times can't even imagine this is an ibanking application i called support center and was told it was because of my internet connection how irresponsible,1,1,0
Techcombank Mobile,great experience i enjoy how easy it is to search for a saved recipient and i no longer have to choose from so many transfer options,5,1,1
Techcombank Mobile,after only days with the new app i must say it is much more better than the older version from the ui the categories the way you transfer money it's really easy to use good job techcom team,5,1,1
Techcombank Mobile,after logined in my account via typing username and password this app still asked me to input otp code now i'm in abroad and my vietnam sim card doesn't work that is why i rate for this app star definitely,1,1,0
Techcombank Mobile,the worst e banking app ever cannot log in though the internet connection or the password is very ok right i do not want to use this fvckjng app but the f st mobile app cannot be used,1,1,0
Techcombank Mobile,i've tried to log in but fail anytime it make me feel so uncomfortable i need to make some transactions but i don't have time to go to the bank or atm so what can i do now when this app and the old app are off either,1,1,0
Techcombank Mobile,so bad ui ux is too difficult to use notification function doesn't work why i have to migrate to new app when it not finish,1,1,0
Techcombank Mobile,this app keeps saying something went wrong at different times and steps though my connection is strong and the info is correct,1,1,0
Techcombank Mobile,rolling out this new piece of garbage and forcing users to switch is not a smart move at all i went through all kind of trouble for not being able to transfer money today i'm switching to another bank bye,1,1,0
Techcombank Mobile,so many functions not completed i tried to use some functions like read money transaction history but it just say coming soon this app is released too soon,1,1,0
Techcombank Mobile,terrible app having the same problem as the others can't log in it keeps saying incorrect username and password,1,1,0
Techcombank Mobile,diggin the new design a world of difference compare to the old app,5,1,1
Techcombank Mobile,beautiful mordern design but still not good as the old app,3,1,0
Techcombank Mobile,crashing cant log in,1,1,0
Techcombank Mobile,i deleted the app and download it again on the same device but it keeps saying i did log in in another device,1,1,0
Techcombank Mobile,"when i take screenshot for transaction i got the notification ""cant take screenshot due to security policy""",1,1,0
Techcombank Mobile,f king stupid i dowload it and can't sign in even try to delete and download and download again and again over times so now my account just only use by card this app is not working please techcombank tell me how to continue work with you or i've to cancel everything in your bank and never comeback,1,1,0
Techcombank Mobile,how long you update my password cant even login edited good for now,5,1,1
Techcombank Mobile,the new interface is not convenient,1,1,0
Techcombank Mobile,great design smooth quick transfer ux is quite complicated at first time but will be very confortable after time used i love the qr payment,5,1,1
Techcombank Mobile,if any member of the dev team can read this please know that your app is terrible and we want you to fix it or just let me get back to f st mobile,1,1,0
Techcombank Mobile,worst experience ever with tcb app,1,1,0
Techcombank Mobile,better app then the fast mobile app user friendly,5,1,1
Techcombank Mobile,fast and convenient,5,1,1
Techcombank Mobile,much more modern and easier to use than old app,5,1,1
Techcombank Mobile,it's so unstable,3,1,0
Techcombank Mobile,please design dark mode theme,5,1,1
Techcombank Mobile,can we have an option to delete saved accounts to transfer money,4,1,1
Techcombank Mobile,cant freaking log in,1,1,0
Techcombank Mobile,quite easy to navigate,5,1,1
Techcombank Mobile,very stupid ui and ux gonna leave this bank soon this failed project must be eliminated,1,1,0
Techcombank Mobile,nice ux app works smoothly,5,1,1
Techcombank Mobile,fast and convenient,5,1,1
Techcombank Mobile,keep loading all the time,1,1,0
Techcombank Mobile,overall good experience with the app,4,1,1
Techcombank Mobile,cannot login after a few times,1,1,0
Techcombank Mobile,i can't block my visa card on app and can't pay for mobile fee,1,1,0
Techcombank Mobile,it said no internet connection meanwhile at this time while im writing this review the wifi is still full and strong what th was that unamused face,1,1,0
Techcombank Mobile,techcombank really doesn't pay attention to their customers' experience this is the first time i know it be this irrational to force us to get into frustration i didn't make the change but i never want to do so as being bombarded by reviews,1,1,0
Techcombank Mobile,very slow loading,2,1,0
Techcombank Mobile,i can't use this version or the old version fa t mobile prevents my access because of the release of techcombank mobile which even not working,1,1,0
Techcombank Mobile,worst experience ever cannot log in though i've just set up new password in fast mobile,1,1,0
Techcombank Mobile,it is bad i could not delete my history in addition there are many error from this app,1,1,0
Techcombank Mobile,can't even log in and make any transaction since updated too bad worst experience ever,1,1,0
Techcombank Mobile,too slow to connect and load the information you need to fix mistakes and show customer completely app,1,1,0
Techcombank Mobile,worse app ever when i tried to open the old version it ask me to install the new one and need to have new password for the new app this one never can i login the new app and it also says that there was an error due to wrong account name or password everything is correct except the app so disappointed now i can't login both,1,1,0
Techcombank Mobile,difficult to use,1,1,0
Techcombank Mobile,can't connect to tcbs account,1,1,0
Techcombank Mobile,bugs everywhere please fix this as soon as possible and you'll get my star rate again,1,1,0
Techcombank Mobile,poor ux and unusable app marks any phone as jailbroken if developer mode is turned on,1,1,0
F@st Mobile,after the update to android for my samsung note i could not sign in using my fingerprint recognition i have to say it causes me a great deal of inconvenience since im living abroad and seeking support from call centre is challenging as i see some reviews describing the same problem i wish that the provider will update and improve the fingerprint recognition as soon as possible thank you,3,1,0
F@st Mobile,constantly crash after the update for otp this is the second time the app crashes proventing me to open it i tried uninstall the app the first time but when i get to log on i had to set up the otp numbers again it's not difficult but sure is time consuming you use an app so everything can be quick and within your capabilities so what's the point the app itself was good but there is this problem with only a few users i hope they fix it soon,2,1,0
F@st Mobile,"sometimes when i can't log in i'm shown the message ""invalid username or password"" and i have to wait a long time before i can log in again i think if the server is in error please send the message ""server error"" because if people don't know they will change the password",1,1,0
F@st Mobile,app show error message when i try to login with fingerprint i use it normally before upgrade os version others app work well with fingerprint feature so this is a os compability issue of this app,3,1,0
F@st Mobile,"fingerprint login has been broken for over a month throwing the error ""key [fingerprintpw] not found system is maintaining please try later code """,2,1,0
F@st Mobile,well for those who experience error with fingerprint the solution is to deactive your smart otp then uninstall fast mobile app reinstall app and reset everything including smart otp and fingerprint,4,1,1
F@st Mobile,"i cannot close the ""update to new app"" advertisement is it some kind of on purpose feature or is just a bug please fix this asap cause the new app is extremely terrible",1,1,0
F@st Mobile,such a terrible service and app i tried to change my password to login for first time but it was unable to do that i called to hotline to hear what i read on website no extra support or something like that they asked me go to office to get password reset ok so i went to office to listen the same as hotline service they acted like i did something wrong not their app finally there is some issue with my account in system thank you so much for a kind support i terminated my bank account,1,1,0
F@st Mobile,recently i could not access through fingerprint tried to change the rule but there was error code pls fix it,3,1,0
F@st Mobile,"so far so good however after my phone galaxy note got android updatation finger print log in no longer works seem like the directory for finger print preferences have been changed please look into this issue cuz it is giving me some inconvinient moments i have dowloaded the ""techcombank app"" but that app havent move my account to its system just yet so i am still having to use this one",4,1,1
F@st Mobile,i can't use napas transaction anymore i input receiver's bank acct no but nothing happen,2,1,0
F@st Mobile,i cannot use fingerprint on samsung note after the os upgrade it's not compatible with my device android,4,1,1
F@st Mobile,i can not log in to my account the app keeps saying that my username or password is incorrect but i'm sure i enter the correct information this is blocking me from doing any transactions please take an action i'm seeing the same situations from other reviews posted since november and i'm worried about how long it will take to fix this issue,3,1,0
F@st Mobile,it's good so far i think smart otp is a very convenient and safe way to transfer the money imagine that when you lose your phone and in the worst sence someone can log in to your account and use the otp through sms face screaming in fear thanks the team keep up the good work,5,1,1
F@st Mobile,dont know what's going on in this app keep telling that my password was not correct when i used the correct one multiple times tried to change password but no matter how many options i used always notification on unacceptable was popped out what's a disappointment,1,1,0
F@st Mobile,easy to use one minus star is due to the credit card paying display after paying off full payment it still shows the same amount before doing so as a result it could make me people confused,4,1,1
F@st Mobile,very disappointing password limits the maximum number of characters requires frequent password changes changing my password often makes it impossible for me to remember which one i am using when resetting the password the server doesn't send the confirmation code the data load was very slow often blaming my poor connection even though i used g and fiber the customer service department couldn't do anything but pointlessly extend the waiting time,1,1,0
F@st Mobile,after updating i cant make any transactions via app especially credit card visa eventhough my balance is still valid i did the transactions but i didnt get any otp messages which is sent to the owner's phone registration that was so annoying hope the mistakes will be handled as soon as possible,2,1,0
F@st Mobile,"i can't do anything with this app since i can't even login when i have already reinstalled and tried to log in at many places which has strong wifi and i even use my data but the system still announces that the internet is too slow or too much people are using if"" too much people are using "" means at am in the morning all citizens of this city transact only by this app then make sense i hope that the company can fix this bug and this app i hope this will not occur again",1,1,0
F@st Mobile,the app is hard to use new update suck me at otp error very very very bad app do not use this bank,1,1,0
F@st Mobile,i hope you read this review everything is great until i used my new credit card swiped times but there's no update in the credit balance and no transactions shown in the app even tho the sms does update tried to update the app but no use what's your business flow for this i asked the banker and she told me it would be updated in the next day but it's been days already can you try to adjust my balance manually or a cronjob maybe can help thanks,3,1,0
F@st Mobile,given that i use my fingerprint to login the requirement to change the password so often is rather ridiculous otherwise it's a useful and generally user friendly app,4,1,1
F@st Mobile,system bug otp generator after entering smartotp code it never appear generated otp code neither the number of seconds until the session expires i cannot transfer anything please fix it my sister in vietnam can use normally but i'm abroad and it doesn't work why,1,1,0
F@st Mobile,can not use fingerprint after update to android it seem its an urgent bug but they dont fix asap,1,1,0
F@st Mobile,can not change password keep telling error eventhough i follow exactly the instruction,1,1,0
F@st Mobile,after my google pixel phone update to android i no longer login or make transaction using fingerprint any more please fix it,5,1,1
F@st Mobile,i can login to my account this app couldn't recognize my fingerprint and i dont know why so disappointed,1,1,0
F@st Mobile,i'm satisfied with it easy to use i can send money through it overall it does everything i need no bugs or crashes in around years of using it beaming face with smiling eyes,5,1,1
F@st Mobile,i cannot use my fingerprint to login and i cannot register one as some error happens constantly code i think wonky,1,1,0
F@st Mobile,i was update version i can not see otp or setup smart otp for transfer money but i talk about with contact center and her talk with me pls remove app and reinstall from store before update need remove smart otp bla bla bla i don't understand why upgrade customer don't need install and reinstall for app why smartphone have biometrics always need remember password sign in this app i dis like fastmobile team tech of tcb need learning deploy product customer service need learning sla,1,1,0
F@st Mobile,why password with more than charaters not allow this is banking and finance businesses the password is supposed to be as flexible and complex as possible,1,1,0
F@st Mobile,after upgrade to android i couldn't use fingerprint unlock feature even i had registered fingerprint also entered password and otp code pls have a look,3,1,0
F@st Mobile,so annouying i couldn't take any transactions today even i already updated to the latest version i even couldn't jump in the home page of the app,1,1,0
F@st Mobile,"for a few years it was good but now terrible constantly going down for days sometimes international transfers are just sent back for no reason atm cards originally to be canx for foreigners in march but thats been put back to this mth may clever timing given the pandemic cardless transfer stuck in ""pending"" for hrs reason input amount states they accept ' dong but tried atms and because they dont stock you would think you could cancel it but cancelling renders error code and to contact techombank which i did and they stated it would take to days to resolve and cant be done through telephone banking note you can change your password by one digit which isnt reassuring clearly the very wealthy who run this bank are cowboys scrimping shoddy find another bank",1,1,0
F@st Mobile,there is no option to hide info of notification it show total money i have on new transaction i will not happy if my friend use my phone,1,1,0
F@st Mobile,"after updating i cant make transactions to another banks except tech in step text the account numb and choose the bank after that i cant hit ""submit"" button its grey not change to red to hit i cant understand this problem",3,1,0
F@st Mobile,"buggy as hell reset password and can not login with the new password reset again and still can not login many times can not transfer money to other bank account because ""thực hiện"" button is disabled",1,1,0
F@st Mobile,name is fast mobile but can not loging slow connection stupid in management compare to other bank applications this is like garbage please use another bank account with another mobile app techcombank is one of the worst ones you could use,1,1,0
F@st Mobile,the features are fine but it would be better if you re design your ui and ux,4,1,1
F@st Mobile,i cannot access to this app every night that's really a point they allow transfer money but how can do if we cannot access to it and if i need to lock my card urgently so bad,1,1,0
Techcombank Business,too terrible i can't transfer money and now i also can't log in,1,1,0
Vietcombank,i open an ecard with the app however it is not usable,1,1,0
Vietcombank,i never see a supercharge using a debit card like vietcombank yesterday i have bought a flight ticket around usd the bank charged me usd then i bought another ticket and charged me usd omg i will change fast this ridicules bank,1,1,0
Vietcombank,terrible customer service in this digital age everything is done online and makes it easy for customer to use the app and services however vcb makes it extremely difficult for customer i forgot the password to login the app a few weeks ago and such vcb blocked my account completely the only way i can do to unblock it is to come to a vcb store and provide request documents why digital bank but there is no other way for customer to get back their blocked account on digital environment,1,1,0
Vietcombank,easy to use and good visualization,5,1,1
Vietcombank,the new update try to look pro but fail to do so constantly crash on android samsung experience samsung galaxy s edge ever since i update to the new version it crashed out of times even worse it crashed just right after i inputed my otp for qr pay need serious attention the background is also very distracting please allow no background wallpaper ui,2,1,0
Vietcombank,"cant set up the fingerprint when using this app futhermore when i active function"" account balance notice"" in app in stead of receiving sms the messages in app seems error they are all same content "" you got new message "" that's all really dissapointed please fix these issues above soonest",2,1,0
Vietcombank,the first version of app ran very well but the latest one is horrendous indeed transaction was lag and dropped off every time when i tried to make one back to the old school version simple but efficient new version elegant color but annoying and useless,1,1,0
Vietcombank,app is easy to use ui is professional and beautiful main color of app is green and black that makes me feel comfortable i can select various themes ux is nice and great all functions work well performance is good app lauches fast all functions response right after i tap i voted stars so that i would like to encourage design development and test teams,5,1,1
Vietcombank,after the last update i didn't recieve any notifications about account change and the craziest thing is when i open the app i can see all those notifications even before logging in as if there is no security there also i don't like the new appearance please fix it,1,1,0
Vietcombank,just an overwhelming amount of fees for every little thing the app sucks it now require you to fill out the name of the person you're transfering money to instead of just give you the name when you put in their bank number which is so stupid and for no reason at all makes it more prone to you sending money to the wrong people the service also sucks and people are incompetent,1,1,0
Vietcombank,this app caused so much confusion and blocked users from experiencing smoothly just re install the app yet it said my mobile phone has been blocked not mentioning the reason while i still can use internet banking and pay monthly countless fee also hotline is such a mess causing iritation for customer with unclear messages and can never be reachable,1,1,0
Vietcombank,"ugly and confused ui half of the app is ads and useless ""features """,1,1,0
Vietcombank,the app itself is quite full of services and it used to work perfectly since the last update it opens for few seconds and the it collapses hope they can fix it i run it on a huawei p lite,1,1,0
Vietcombank,"hello sorry for stars it'll great if you increase the time of ""transaction history"" why it's only week and month i can check the history if it only show one month i have many accounts which different term months please update the time to at least months thank a lot",2,1,0
Vietcombank,stop updating without notification in advance the fingerprint was invalid when the bank updated or added any functions bad application i hate using this app please allow us acessing on the website instead of using this stupid digital app before the bank develop and fix all the errors completely thanks,1,1,0
Vietcombank,i have an account i've registered my phone number they've been sending me notification messages ever since and yet when i logged in i couldn't do so with my phone number impeccable app design gonna stick to web app from now on,1,1,0
Vietcombank,cant use the fringer print inconvenient than old previous please fix it,3,1,0
Vietcombank,whoever designed this app has to be sent back to ux ui school green letters on a transparent background one third of the screen filled with advertising a cluttered interface with functions come on banking functionality is good the rest is terrible sorry contact me to discuss in detail this is of banking,1,1,0
Vietcombank,this is execllent banking app easy to use of course when you first time sign up you need to fill up all your personal information to match your bank details after is fast and easy to do the thing you need transfer settle pay bill love you vcb app,5,1,1
Vietcombank,i got trouble with digital banking i typed right password of mobile banking but can register digital banking it always says that i typed wrong password and lock the table of fee service is not cheap but the service is so bad i dont want use the service of you it made me feel angry if you cant fix this misstake by the fast please remove this app down the store it's really terrible,1,1,0
Vietcombank,good app many functions easy to use convenient for trading easy to access with fingerprints i voted stars so that i would like encourage design development and test teams,5,1,1
Vietcombank,terrible sending receiving money often encounters issue and needs to roll back transaction if you want to do business with it it will waste your time and put you at risk i need to do quick transaction but it hangs a big amount of money in the air the support is hopeless and all you can do is to wait for a long time,1,1,0
Vietcombank,the app always stops working every time i open it i cannot even log in or do anything with the app it has happened since the app updated to digibank version,1,1,0
Vietcombank,this is the most frustrating app i've used to date since the last update all my information was reset and i'm unable to use it due to being stuck overseas the website version is just as bad,1,1,0
Vietcombank,after i changed my phone number i cannot use my fingerprint scanner as the app says my phone is root while in fact it's not please fix this i will give stars once you fix it,3,1,0
Vietcombank,app stops automatically at every first try to log in and after completing payment make me confuse whether or not the payment is successful thus have to log in again if i want to check it and see the receipt,1,1,0
