Bank,review_text,review_score,english
Techcombank Mobile,Rolling out this new piece of garbage and forcing users to switch is not a smart move at all. I went through all kind of trouble for not being able to transfer money today. I'm switching to another bank. Bye.,1,1
Techcombank Mobile,So many functions not completed. I tried to use some functions like read money transaction history but it just say coming soon. This app is released too soon.,1,1
Techcombank Mobile,Terrible app. Having the same problem as the others. Can't log in. It keeps saying incorrect username and password.,1,1
Techcombank Mobile,Diggin the new design. A world of difference compare to the old app.,5,1
Techcombank Mobile,Beautiful mordern design but still not good as the old app,3,1
Techcombank Mobile,"Crashing, cant log in",1,1
Techcombank Mobile,I deleted the app and download it again on the same device but it keeps saying I did log in in another device (?!?),1,1
Techcombank Mobile,"When I take screenshot for transaction, I got the notification ""Cant take screenshot due to security policy""",1,1
Techcombank Mobile,"F***king stupid! I dowload it and can't sign in even try to delete and download and download again and again over 1000 times. So now my account JUST ONLY USE BY CARD, THIS APP IS NOT WORKING? Please Techcombank, tell me how to continue work with you? Or I've to cancel everything in your bank and never comeback?",1,1
Techcombank Mobile,How long you update my password cant even login. Edited: Good for now!,5,1
Techcombank Mobile,The new interface is not convenient,1,1
Techcombank Mobile,"Great design. Smooth. Quick transfer. UX is quite complicated at first time but will be very confortable after 2,3 time used. I love the QR payment",5,1
Techcombank Mobile,"If any member of the dev team can read this, please know that your app is terrible and we want YOU to fix it. Or just let me get back to F@st mobile.",1,1
Techcombank Mobile,Worst experience ever with TCB app,1,1
Techcombank Mobile,better app then the fast mobile app. User friendly,5,1
Techcombank Mobile,Fast and convenient,5,1
Techcombank Mobile,Much more modern and easier to use than old app,5,1
Techcombank Mobile,It's so unstable,3,1
Techcombank Mobile,Please design dark mode theme,5,1
Techcombank Mobile,Can we have an option to delete saved accounts to transfer money?,4,1
Techcombank Mobile,Cant freaking log in,1,1
Techcombank Mobile,quite easy to navigate,5,1
Techcombank Mobile,"Very stupid UI and UX, gonna leave this bank soon. This failed project must be eliminated.",1,1
Techcombank Mobile,Nice UX. App works smoothly,5,1
Techcombank Mobile,fast and convenient,5,1
Techcombank Mobile,Keep loading all the time,1,1
Techcombank Mobile,Overall good experience with the app.,4,1
Techcombank Mobile,Cannot login after a few times ...,1,1
Techcombank Mobile,I can't block my visa card on app and can't pay for mobile fee,1,1
Techcombank Mobile,"it said no internet connection meanwhile at this time, while im writing this review the wifi is still full and strong. what th was that 😒",1,1
Techcombank Mobile,Techcombank really doesn't pay attention to their customers' experience? This is the first time I know it be this irrational to force us to get into frustration. I didn't make the change but I never want to do so as being bombarded by 1* reviews.,1,1
Techcombank Mobile,Very slow loading,2,1
Techcombank Mobile,"I can't use this version or the old version. Fa@t mobile prevents my access because of the release of Techcombank mobile, which even not working.",1,1
Techcombank Mobile,Worst experience ever. Cannot log in though I've just set up new password in Fast Mobile.,1,1
Techcombank Mobile,"It is bad, i could not delete my history. In addition, there are many error from this app.",1,1
Techcombank Mobile,Can't even log in and make any transaction since updated. Too bad! Worst experience ever!,1,1
Techcombank Mobile,Too slow to connect and load the information. You need to fix mistakes and show customer completely app.,1,1
Techcombank Mobile,"Worse app ever. When I tried to open the old version, it ask me to install the new one and need to have new password for the new app(this one). Never can I login the new app and it also says that there was an error due to wrong account name or password. Everything is correct except the app!! So disappointed. Now I can't login both.",1,1
Techcombank Mobile,Difficult to use,1,1
Techcombank Mobile,Can't connect to TCBS account!!!,1,1
Techcombank Mobile,Bugs everywhere. Please fix this as soon as possible and you'll get my 5 star rate again.,1,1
Techcombank Mobile,Poor UX and unusable. App marks any phone as jailbroken if developer mode is turned on.,1,1
F@st Mobile,"After the update to Android 12 for my Samsung Note 10+, I could not sign in using my Fingerprint recognition. I have to say it causes me a great deal of inconvenience (since Im living abroad and seeking support from Call Centre is challenging). As i see some reviews describing the same problem, I wish that the provider will update and improve the fingerprint recognition as soon as possible. Thank you.",3,1
F@st Mobile,"Constantly crash after the update for OTP This is the second time the app crashes, proventing me to open it. I tried uninstall the app the first time but when I get to log on, I had to set up the OTP numbers again. It's not difficult but sure is time consuming. You use an app so everything can be quick and within your capabilities so what's the point? The app itself was good but there is this problem with only a few users. I hope they fix it soon",2,1
F@st Mobile,"Sometimes when I can't log in, I'm shown the message ""Invalid username or password"" and I have to wait a long time before I can log in again. I think if the server is in error please send the message ""Server error"" because If people don't know, they will change the password.",1,1
F@st Mobile,"App show error message when I try to login with fingerprint. I use it normally before upgrade OS version. Others app work well with fingerprint feature, so this is a OS compability issue of this app.",3,1
F@st Mobile,"Fingerprint login has been broken for over a month, throwing the error: ""Key [fingerprintpw] not found. System is maintaining. Please try later. (Code: 101022)""",2,1
F@st Mobile,"Well, for those who experience error with fingerprint, the solution is to deactive your smart OTP, then uninstall Fast Mobile app, reinstall app and reset everything, including smart OTP and fingerprint",4,1
F@st Mobile,"I cannot close the ""update to new app"" advertisement. Is it some kind of on purpose feature or is just a bug? Please fix this asap cause the new app is extremely terrible",1,1
F@st Mobile,"Such a terrible service and app. I tried to change my password to login for first time but it was unable to do that. I called to hotline to hear what i read on website, no extra support or something like that. They asked me go to office to get password reset. Ok, so I went to office to listen the same as hotline service. They acted like i did something wrong not their app. Finally, there is some issue with my account in system. Thank you so much for a kind support. I terminated my bank account",1,1
F@st Mobile,"Recently I could not access through fingerprint, tried to change the rule but there was error code 101019. Pls fix it.",3,1
F@st Mobile,"So far so good.... however, after my phone (Galaxy note 10) got Android 12 updatation ... finger print log in no longer works, seem like the directory for finger print preferences have been changed.... Please look into this issue cuz it is giving me some inconvinient moments. I have dowloaded the ""Techcombank app"" but that app havent move my account to its system just yet so I am still having to use this one ...",4,1
F@st Mobile,"I can't use napas 24/7 transaction anymore. I input receiver's bank, acct. no., but nothing happen.",2,1
F@st Mobile,I cannot use fingerprint on Samsung Note 10 after the OS upgrade. It's not compatible with my device (android 12).,4,1
F@st Mobile,"I can not log in to my account. The app keeps saying that my username or password is incorrect, but I'm sure I enter the correct information. This is blocking me from doing any transactions. Please take an action! I'm seeing the same situations from other reviews posted since November and I'm worried about how long it will take to fix this issue.",3,1
F@st Mobile,it's good so far. I think smart OTP is a very convenient and safe way to transfer the money. Imagine that when you lose your phone and in the worst sence someone can log in to your account and use the OTP through SMS 😱 thanks the team. Keep up the good work!,5,1
F@st Mobile,"Dont know what's going on in this App. Keep telling that my password was not correct when I used the correct one multiple times. Tried to change password, but no matter how many options I used, always notification on unacceptable was popped out. What's a disappointment!",1,1
F@st Mobile,"Easy to use. One minus star is due to the credit card paying display. After paying off (full payment), it still shows the same amount before doing so. As a result, it could make me people confused.",4,1
F@st Mobile,"Very disappointing. Password limits the maximum number of characters. Requires frequent password changes. Changing my password often makes it impossible for me to remember which one I am using. When resetting the password, the server doesn't send the confirmation code. The data load was very slow, often blaming my poor connection (even though I used 4g and fiber). The customer service department couldn't do anything but pointlessly extend the waiting time.",1,1
F@st Mobile,"After updating , i cant make any transactions via app , especially credit card ( Visa ) eventhough my balance is still valid. I did the transactions but i didnt get any OTP messages which is sent to the owner's phone registration. That was so annoying. Hope the mistakes will be handled as soon as possible",2,1
F@st Mobile,"i can't do anything with this app since i can't even login when i have already reinstalled and tried to log in at many places which has strong wifi and i even use my data but the system still announces that the internet is too slow or too much people are using. If"" too much people are using "" means at 3 AM in the morning all citizens of this city transact only by this app then make sense . I hope that the company can fix this bug and this app , i hope this will not occur again",1,1
F@st Mobile,"The app is hard to use, new update suck me at otp, error, very very very bad app, do not use this bank",1,1
F@st Mobile,"I hope you read this review. Everything is great until I used my new credit card, swiped 3 times but there's no update in the credit balance and no transactions shown in the app (even tho the SMS does update). Tried to update the app but no use.. what's your business flow for this? I asked the banker and she told me it would be updated in the next day but it's been 2 days already? Can you try to adjust my balance manually or a cronjob maybe can help? Thanks!",3,1
F@st Mobile,"Given that I use my fingerprint to login the requirement to change the password so often is rather ridiculous. Otherwise, it's a useful and generally user-friendly app.",4,1
F@st Mobile,"System bug - OTP generator. After entering SmartOTP code, it never appear generated OTP code, neither the number of seconds, until the session expires. I cannot transfer anything. Please fix it! My sister in vietnam can use normally but I'm abroad and it doesn't work. Why?",1,1
F@st Mobile,"Can not use fingerprint after update to android 12, it seem its an urgent bug but they dont fix asap?",1,1
F@st Mobile,"Can not change password, keep telling error eventhough i follow exactly the instruction.",1,1
F@st Mobile,"After my google pixel 3 phone update to android 12, i no longer login or make transaction using fingerprint any more. Please fix it",5,1
F@st Mobile,I can login to my account... This app couldn't recognize my fingerprint and i dont know why.. So disappointed,1,1
F@st Mobile,"I'm satisfied with it, easy to use, I can send money through it, overall it does everything I need! No bugs or crashes in around 2 years of using it 😁",5,1
F@st Mobile,"I cannot use my fingerprint to login, and I cannot register one as some error happens constantly (code 101019 I think). Wonky!",1,1
F@st Mobile,"I was update version. I can not see otp or setup smart otp for transfer money. But I talk about with contact center and her talk with me pls: remove app and reinstall from store. Before update need remove smart otp. Bla..bla..bla.. I don't understand why upgrade? Customer don't need install and reinstall for app. Why smartphone have biometrics always need remember password sign-in this app. I dis like FastMobile, team tech of TCB need learning deploy product, customer service need learning SLA.",1,1
F@st Mobile,"Why password with more than 8 charaters not allow?! This is banking and finance businesses, the password is supposed to be as flexible and complex as possible",1,1
F@st Mobile,"After upgrade to Android 10, I couldn't use fingerprint unlock feature even I had registered fingerprint, also entered password and OTP code. Pls have a look.",3,1
F@st Mobile,So annouying. I couldn't take any transactions today even I already updated to the latest version. I even couldn't jump in the home page of the app.,1,1
F@st Mobile,"For a few years it was good, but now - terrible: - Constantly going down - for days - Sometimes international transfers are just sent back for no reason - ATM cards originally to be canx for foreigners in march but thats been put back to this mth, May 2020 - Clever timing given the pandemic. Cardless transfer stuck in ""Pending"" for 48hrs. Reason, input amount states they accept 50'000 dong but tried 11 + atms and because they dont stock you would think you could cancel it but cancelling renders error code and to contact Techombank, which I did and they stated it would take 3 to 6 days to resolve and cant be done through telephone banking. - Note - you can change your password by one digit - which isnt reassuring. Clearly the very wealthy who run this bank are cowboys scrimping. Shoddy - find another bank.",1,1
F@st Mobile,There is no option to hide info of notification. It show total money I have on new transaction. I will not happy if my friend use my phone.,1,1
F@st Mobile,"After updating, I cant make transactions to another Banks except Tech, in step , text the account numb and choose the bank, after that, i cant hit ""Submit"" button, its grey not change to red to hit i cant understand this problem",3,1
F@st Mobile,"Buggy as hell. Reset password and can not login with the new password; reset again, and still can not login. Many times, can not transfer money to other bank account because ""Thực hiện"" button is disabled",1,1
F@st Mobile,"Name is fast mobile but can not loging, slow connection, stupid in management. Compare to other bank applications this is like garbage. Please use another bank account with another mobile app. Techcombank is one of the worst ones you could use.",1,1
F@st Mobile,"The features are fine, but it would be better if you re-design your UI and UX.",4,1
F@st Mobile,I cannot access to this app every night. That's really a point. They allow transfer money 24/24 but how can do if we cannot access to it? And if I need to lock my card urgently? So bad,1,1
Techcombank Business,Too terrible. I can't transfer money. And now I also can't log in,1,1
Vietcombank,"I open an eCard with the app. However, it is not usable.",1,1
Vietcombank,"I never see a supercharge using a debit card like Vietcombank, yesterday I have bought a flight ticket around 699 USD the bank charged me 39 USD.!!!! then I bought another ticket and charged me 32USD.OMG I will change fast this ridicules bank",1,1
Vietcombank,"Terrible customer service. In this digital age, everything is done online and makes it easy for customer to use the app and services. However, VCB makes it extremely difficult for customer. I forgot the password to login the app a few weeks ago and such VCB blocked my account completely. The only way I can do to unblock it is to come to a VCB store and provide request documents??? Why? Digital bank but there is no other way for customer to get back their blocked account on digital environment???",1,1
Vietcombank,Easy to use and good visualization!,5,1
Vietcombank,"The new update try to look pro but fail to do so. Constantly crash on Android 8.0.0, Samsung Experience 9, Samsung Galaxy S7 Edge. Ever since I update to the new version, it crashed 3 out of 4 times. Even worse, it crashed just right after I inputed my OTP for QR Pay, need serious attention. The background is also very distracting, please allow no background wallpaper UI.",2,1
Vietcombank,"Cant set up the fingerprint when using this app. Futhermore , when I active function"" account balance notice"" in app in stead of receiving SMS , the messages in app seems error. They are all same content "" You got new message "". That's all. Really dissapointed. Please fix these issues above soonest.",2,1
Vietcombank,"The first version of app ran very well but the latest one is horrendous. Indeed, transaction was lag and dropped off every time when I tried to make one. Back to the old school version, simple but efficient. New version, elegant color but annoying and useless.",1,1
Vietcombank,"App is easy to use. UI is professional and beautiful. Main color of app is green and black that makes me feel comfortable. I can select various themes. UX is nice and great. All functions work well. Performance is good. App lauches fast. All functions response right after I tap. I voted 5 stars so that I would like to encourage design, development and test teams.",5,1
Vietcombank,"After the last update I didn't recieve any notifications about account change. And the craziest thing is when I open the app, I can see all those notifications even BEFORE logging in, as if there is no security there. Also, I don't like the new appearance. Please fix it!",1,1
Vietcombank,"Just an overwhelming amount of fees for every little thing. The app sucks, it now require you to fill out the name of the person you're transfering money to instead of just give you the name when you put in their bank number, which is so stupid and for no reason at all, makes it more prone to you sending money to the wrong people. The service also sucks and people are incompetent.",1,1
Vietcombank,"This app caused so much confusion and blocked users from experiencing smoothly. Just re-install the app yet it said my mobile phone has been blocked (not mentioning the reason) while I still can use internet banking and pay monthly countless fee. Also, hotline is such a mess, causing iritation for customer with unclear messages and can never be reachable.",1,1
